,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,ratio_per_person
0,23,84,Low,High,No,7,73,Low,Yes,0,Low,Medium,Public,Positive,3.0,No,High School,Near,Male,67,0.27380952380952384
1,19,64,Low,Medium,No,8,59,Low,Yes,2,Medium,Medium,Public,Negative,4.0,No,College,Moderate,Female,61,0.296875
2,24,98,Medium,Medium,Yes,7,91,Medium,Yes,2,Medium,Medium,Public,Neutral,4.0,No,Postgraduate,Near,Male,74,0.24489795918367346
3,29,89,Low,Medium,Yes,8,98,Medium,Yes,1,Medium,Medium,Public,Negative,4.0,No,High School,Moderate,Male,71,0.3258426966292135
4,19,92,Medium,Medium,Yes,6,65,Medium,Yes,3,Medium,High,Public,Neutral,4.0,No,College,Near,Female,70,0.20652173913043478
5,19,88,Medium,Medium,Yes,8,89,Medium,Yes,3,Medium,Medium,Public,Positive,3.0,No,Postgraduate,Near,Male,71,0.2159090909090909
6,29,84,Medium,Low,Yes,7,68,Low,Yes,1,Low,Medium,Private,Neutral,2.0,No,High School,Moderate,Male,67,0.34523809523809523
7,25,78,Low,High,Yes,6,50,Medium,Yes,1,High,High,Public,Negative,2.0,No,High School,Far,Male,66,0.32051282051282054
8,17,94,Medium,High,No,6,80,High,Yes,0,Medium,Low,Private,Neutral,1.0,No,College,Near,Male,69,0.18085106382978725
9,23,98,Medium,Medium,Yes,8,71,Medium,Yes,0,High,High,Public,Positive,5.0,No,High School,Moderate,Male,72,0.23469387755102042
10,17,80,Low,High,No,8,88,Medium,No,4,Medium,High,Private,Neutral,4.0,No,College,Moderate,Male,68,0.2125
11,17,97,Medium,High,Yes,6,87,Low,Yes,2,Low,High,Private,Neutral,2.0,No,High School,Near,Male,71,0.17525773195876287
12,21,83,Medium,Medium,Yes,8,97,Low,Yes,2,Medium,Medium,Public,Positive,4.0,No,High School,Near,Male,70,0.25301204819277107
13,9,82,Medium,Medium,Yes,8,72,Medium,Yes,2,Medium,Medium,Private,Positive,3.0,No,Postgraduate,Near,Male,66,0.10975609756097561
14,10,78,Medium,High,Yes,8,74,Medium,Yes,1,Low,Medium,Private,Neutral,4.0,No,Postgraduate,Near,Male,65,0.1282051282051282
15,17,68,Medium,Medium,No,8,70,Medium,Yes,2,Medium,Medium,Private,Positive,4.0,No,High School,Near,Female,64,0.25
16,14,60,Medium,Low,Yes,10,65,Low,Yes,0,High,Medium,Private,Positive,3.0,No,College,Near,Male,60,0.23333333333333334
17,22,70,Low,Medium,Yes,6,82,Medium,Yes,1,Low,High,Public,Neutral,3.0,No,High School,Near,Female,65,0.3142857142857143
18,15,80,Medium,Medium,Yes,9,91,Low,Yes,3,Low,Medium,Public,Positive,2.0,No,College,Moderate,Female,67,0.1875
19,12,75,Medium,High,Yes,7,58,Medium,Yes,3,Medium,Medium,Private,Positive,4.0,No,College,Near,Male,66,0.16
20,29,78,Medium,Medium,No,5,99,High,Yes,0,High,Medium,Public,Negative,1.0,No,High School,Moderate,Female,69,0.3717948717948718
21,19,99,Medium,High,No,6,84,Medium,Yes,1,Medium,High,Public,Neutral,3.0,No,High School,Near,Male,72,0.1919191919191919
22,20,74,Medium,High,No,8,89,Low,Yes,1,Medium,Medium,Public,Negative,2.0,No,College,Moderate,Female,66,0.2702702702702703
23,11,78,High,Medium,Yes,8,100,High,Yes,1,Low,Medium,Public,Neutral,3.0,No,High School,Moderate,Male,66,0.14102564102564102
24,17,65,Low,High,Yes,5,75,Medium,Yes,2,Low,Medium,Public,Positive,3.0,No,High School,Near,Female,63,0.26153846153846155
25,21,62,High,Low,Yes,6,54,High,Yes,0,High,High,Public,Positive,3.0,No,Postgraduate,Far,Male,64,0.3387096774193548
26,13,91,Low,Medium,No,6,90,Medium,Yes,1,High,Medium,Public,Negative,2.0,Yes,High School,Moderate,Female,65,0.14285714285714285
27,22,83,High,High,Yes,6,94,Medium,Yes,0,High,Medium,Public,Neutral,2.0,No,College,Moderate,Male,71,0.26506024096385544
28,16,90,Medium,Medium,No,4,58,Medium,Yes,1,Low,Medium,Public,Neutral,3.0,No,High School,Moderate,Female,66,0.17777777777777778
29,18,66,High,High,No,4,51,Low,Yes,2,Low,Medium,Private,Neutral,2.0,No,College,Near,Male,64,0.2727272727272727
30,16,83,Low,Medium,No,6,57,Medium,Yes,0,High,Low,Public,Positive,4.0,Yes,High School,Near,Female,63,0.1927710843373494
31,31,70,Medium,High,Yes,7,66,Medium,Yes,1,High,Medium,Public,Negative,3.0,No,College,Near,Male,69,0.44285714285714284
32,20,69,Medium,Medium,Yes,8,96,Medium,Yes,2,Medium,High,Public,Positive,3.0,No,High School,Near,Male,67,0.2898550724637681
33,14,60,High,Medium,No,5,50,Medium,Yes,2,Medium,Medium,Public,Neutral,3.0,No,College,,Female,61,0.23333333333333334
34,25,65,High,Medium,No,5,90,Medium,Yes,2,Medium,Medium,Public,Positive,3.0,No,College,Moderate,Female,68,0.38461538461538464
35,13,72,Low,Medium,No,6,93,Low,Yes,1,Low,Medium,Public,Negative,3.0,No,High School,Near,Male,61,0.18055555555555555
36,21,65,Medium,Low,Yes,7,91,Low,Yes,2,Medium,High,Public,Positive,3.0,No,High School,Far,Female,64,0.3230769230769231
37,8,99,Medium,Medium,No,9,54,Low,Yes,2,Low,Medium,Public,Neutral,5.0,No,Postgraduate,Near,Female,67,0.08080808080808081
38,12,72,Low,Medium,Yes,8,84,Medium,Yes,1,Low,Medium,Public,Positive,5.0,No,High School,Near,Female,63,0.16666666666666666
39,21,65,Low,Medium,Yes,6,98,Low,Yes,1,Medium,High,Public,Negative,4.0,No,High School,Near,Male,64,0.3230769230769231
40,24,68,High,Medium,No,8,56,Low,Yes,3,High,High,Public,Neutral,1.0,No,College,Near,Male,67,0.35294117647058826
41,21,84,Medium,Medium,Yes,6,52,Low,Yes,1,Medium,High,Public,Neutral,2.0,Yes,College,Far,Female,65,0.25
42,19,63,Low,High,No,7,94,Medium,Yes,1,Medium,Medium,Private,Positive,3.0,No,High School,Moderate,Male,64,0.30158730158730157
43,18,94,Medium,High,Yes,7,82,Medium,Yes,3,Medium,Medium,Private,Negative,2.0,Yes,College,Near,Male,70,0.19148936170212766
44,11,98,Medium,Medium,Yes,9,82,Low,Yes,1,Medium,Medium,Private,Positive,3.0,No,Postgraduate,Far,Male,68,0.11224489795918367
45,16,70,Medium,Medium,Yes,8,98,Medium,Yes,2,Medium,Medium,Public,Positive,3.0,No,High School,Moderate,Male,65,0.22857142857142856
46,17,78,Medium,Medium,Yes,6,88,Medium,Yes,1,Medium,High,Private,Positive,3.0,No,College,Near,Female,68,0.21794871794871795
47,26,61,Medium,Low,Yes,6,70,Medium,Yes,2,Low,Medium,Public,Positive,3.0,No,High School,Moderate,Female,64,0.4262295081967213
48,22,86,Low,Medium,Yes,7,72,Low,Yes,3,Low,High,Public,Positive,2.0,No,High School,Moderate,Male,68,0.2558139534883721
49,9,77,Medium,Medium,No,5,57,Medium,Yes,2,Medium,High,Public,Neutral,3.0,No,High School,Near,Male,63,0.11688311688311688
